นิวยอร์ก	new-yɔ̂ɔk
อย่างต่อเนื่อง	yàang-tɔ̀ɔ-nʉ̂ang
อย่างตกใจ	yàang-tòk-cay
ย่างตีน	yâang-tiin
อย่างถูกต้อง	yàang-thùuk-tɔ̂ng
อย่างถ่องแท้	yàang-thɔ̀ng-thɛ́ɛ
อย่างแท้จริง	yàang-thɛ́ɛ-cing
อย่างถาวร	yàang-thǎa-wɔɔn
อย่างเต็มที่	yàang-tem-thîi
อย่างเต็มกำลัง	yàang-tem-kam-lang
ยางแตก	yaang-tɛ̀ɛk
อย่างตั้งใจ	yàang-tâng-cay
อย่างสูง	yàang-sǔung
อย่างสุดความสามารถ	yàang-sùt-khwaam-sǎa-mâat
อย่างสวยงาม	yàang-sǔay-ngaam
อย่างสนใจ	yàang-sǒn-cay
อย่างสนุกสนาน	yàang-sa-nùk-sa-nǎan
อย่างสนุก	yàang-sa-nùk
อย่างสนิทสนม	yàang-sa-nìt-sa-nǒm
อย่างสงบ	yàang-sa-ngòp
อย่างสม่ำเสมอ	yàang-sa-màm-sa-mə̌ə
อย่างสบายใจ	yàang-sa-baay-cay
อย่างรุนแรง	yàang-run-rɛɛng
อย่างรวดเร็ว	yàang-rûat-rew
อย่างรวบรัด	yàang-rûap-rát
อย่างรีบด่วน	yàang-rîip-dùan
อย่างเรียบร้อย	yàang-rîap-rɔ́ɔy
อย่างเร็ว	yàang-rew
อย่างเร่งรีบ	yàang-rêng-rîip
อย่างแรงกล้า	yàang-rɛɛng-klâa
อย่างแรง	yàang-rɛɛng
อย่างไรเล่า	yàang-ray-lâw
อย่างไรก็ตาม	yàang-ray-kɔ̂ɔ-taam
อย่างไรก็ดี	yàang-ray-kɔ̂ɔ-dii
อย่างไรบ้าง	yàang-ray-bâang
อย่างไร	yàang-ray
อย่างระมัดระวัง	yàang-rá-mát-rá-wang
อย่างร้ายแรง	yàang-ráay-rɛɛng
อย่างราบรื่น	yàang-râap-rʉ̂ʉn
อย่างประณีต	yàang-prà-nîit
อย่างประหลาดใจ	yàang-prà-làat-cay
อย่างปลอดภัย	yàang-plɔ̀ɔt-phay
อย่างแปลกใจ	yàang-plɛ̀ɛk-cay
อย่างพิถีพิถัน	yàang-phí-thǐi-phí-thǎn
อย่างเพียงพอ	yàang-phiang-phɔɔ
ยางพารา	yaang-phaa-raa
อย่างเป็นทางการ	yàang-pen-thaang-kaan
อย่างเป็นระบบ	yàang-pen-rá-bòp
อย่างเป็นระเบียบ	yàang-pen-rá-bìap
อย่างเป็นจริงเป็นจัง	yàang-pen-cing-pen-cang
อย่างเปิดเผย	yàang-pə̀ət-phə̌əy
อย่างน้อย	yàang-nɔ́ɔy
อย่างนี้	yàang-níi
อย่างง่ายดาย	yàang-ngâay-daay
อย่างแน่นอน	yàang-nɛ̂ɛ-nɔɔn
อย่างไหน	yàang-nǎy
ยางใน	yaang-nay
อย่างนั้น	yàang-nán
อย่างหนัก	yàang-nàk
อย่างเหมาะสม	yàang-mɔ̀-sǒm
อย่างมิดชิด	yàang-mít-chít
อย่างมีระบบ	yàang-mii-rá-bòp
อย่างมีประสิทธิภาพ	yàang-mii-prà-sìt-thí-phâap
อย่างแม่นยำ	yàang-mɛ̂n-yam
ยางมะตอย	yaang-má-tɔɔy
อย่างมั่นเหมาะ	yàang-mân-mɔ̀
อย่างมั่นคง	yàang-mân-khong
อย่างมั่นใจ	yàang-mân-cay
อย่างมหาศาล	yàang-ma-hǎa-sǎan
อย่างมากมาย	yàang-mâak-maay
อย่างมาก	yàang-mâak
อย่างลึกซึ้ง	yàang-lʉ́k-sʉ́ng
อย่างหลีกเลี่ยงไม่ได้	yàang-lìik-lîang-mây-dâay
อย่างลำบาก	yàang-lam-bàak
อย่างละเอียด	yàang-lá-ìat
อย่างกว้างขวาง	yàang-kwâang-khwǎang
อย่างใกล้ชิด	yàang-klây-chít
อย่างครบถ้วน	yàang-khróp-thûan
อย่างเคร่งครัด	yàang-khrêng-khrát
อย่างแข็งขัน	yàang-khɛ̌ng-khǎn
อย่างเคย	yàang-khəəy
อย่างกะทันหัน	yàang-kà-than-hǎn
ย่างก้าว	yâang-kâaw
อย่างดี	yàang-dii
อย่างเดียวกัน	yàang-diaw-kan
อย่างเด็ดขาด	yàang-dèt-khàat
อย่างเดิม	yàang-dəəm
อย่างใดอย่างหนึ่ง	yàang-day-yàang-nʉ̀ng
อย่างใด	yàang-day
อย่างโจ่งแจ้ง	yàang-còong-cɛ̂ɛng
อย่างจริงใจ	yàang-cing-cay
อย่างจริงจัง	yàang-cing-cang
อย่างเช่น	yàang-chên
อย่างชัดแจ้ง	yàang-chát-cɛ̂ɛng
อย่างชัดเจน	yàang-chát-ceen
อย่างจำกัด	yàang-cam-kàt
อย่างเบามือ	yàang-baw-mʉʉ
อย่างเอาเป็นเอาตาย	yàang-aw-pen-aw-taay
อย่างเอาจริงเอาจัง	yàang-aw-cing-aw-cang
อย่างเอาใจใส่	yàang-aw-cay-sày
อย่างสังเขป	yàa-nga-sǎng-khèep
ย่าง	yâang
อย่าง	yàang
ยาง	yaang
ยานอวกาศ	yaan-a-wa-kàat
ยาน้ำ	yaa-nám
ย่าน	yâan
ยาน	yaan
ญาณ	yaan
ยามวิกาล	yaam-wí-kaan
ยาหม่อง	yaa-mɔ̀ng
หยามน้ำหน้า	yǎam-náam-nâa
หยามหน้า	yǎam-nâa
ยามค่ำคืน	yaam-khâm-khʉʉn
ยาเม็ด	yaa-mét
ยามเช้า	yaam-cháw
ย่ามใจ	yâam-cay
ยาม้า	yaa-máa
หยาม	yǎam
ย่าม	yâam
ยาม	yaam
ยาลูกกลอน	yaa-lûuk-klɔɔn
อย่าลืม	yàa-lʉʉm
ยากเย็น	yâak-yen
หยากไย่	yàak-yây
อยากรู้อยากเห็น	yàak-rúu-yàak-hěn
อยากรู้	yàak-rúu
ยากไร้	yâak-ráy
ยากระตุ้น	yaa-krà-tûn
ยากนาน	yâak-naan
ยากล่อมประสาท	yaa-klɔ̀m-prà-sàat
ยากลำบาก	yâak-lam-bàak
ยากลางบ้าน	yaa-klaang-bâan
ยากเข็ญ	yâak-khěn
ยากแค้น	yâak-khɛ́ɛn
ยากิน	yaa-kin
ยาคุมกำเนิด	yaa-khum-kam-nə̀ət
ยาคุม	yaa-khum
ยาควบคุมพิเศษ	yaa-khûap-khum-phí-sèet
ยาขม	yaa-khǒm
ยาเขียว	yaa-khǐaw
ยาขยัน	yaa-kha-yǎn
ยาขัดรองเท้า	yaa-khàt-rɔɔng-tháaw
หย่าขาด	yàa-khàat
ยาฆ่าแมลง	yaa-khâa-ma-lɛɛng
ยาฆ่าเชื้อโรค	yaa-khâa-chʉ́a-rôok
ยาฆ่าเชื้อ	yaa-khâa-chʉ́a
ยาแก้เศร้า	yaa-kɛ̂ɛ-sâw
ยาแก้ปวด	yaa-kɛ̂ɛ-pùat
ยาแก้คัน	yaa-kɛ̂ɛ-khan
ยาแก้ไอ	yaa-kɛ̂ɛ-ay
อยากได้	yàak-dâay
ยากจน	yâak-con
ยากจะแก้ไข	yâak-cà-kɛ̂ɛ-khǎy
อยากจะ	yàak-cà
ยากันยุง	yaa-kan-yung
ยากำจัดวัชพืช	yaa-kam-càt-wát-cha-phʉ̂ʉt
ยาก	yâak
อยาก	yàak
ยาแฝด	yaa-fɛ̀ɛt
ยาดม	yaa-dom
ยาดับกลิ่น	yaa-dàp-klìn
ยาจก	yaa-còk
ยาชูกำลัง	yaa-chuu-kam-lang
ยาฉีด	yaa-chìit
ยาใช้ภายนอก	yaa-cháy-phaay-nɔ̂ɔk
ยาบำรุง	yaa-bam-rung
ยาบ้า	yaa-bâa
ยาเบื่อ	yaa-bʉ̀a
ยาอันตราย	yaa-an-ta-raay
ย่า	yâa
หญ้า	yâa
หย่า	yàa
อย่า	yàa
ยา	yaa
ย่ะ	yâ
เยื่อ	yʉ̂a
เหยื่อ	yʉ̀a
ยื้อ	yʉ́ʉ
หวือหวา	wʉ̌ʉ-wǎa
วู่วาม	wûu-waam
หวูด	wùut
วูบวาบ	wûup-wâap
วูบ	wûup
วู้	wúu
หวุดหวิด	wùt-wìt
วุฒิสภา	wút-thí-sa-phaa
วุฒิสมาชิก	wút-thí-sa-maa-chík
วุฒิภาวะ	wút-thí-phaa-wá
วุฒิบัตร	wút-thí-bàt
วุฒิ	wút-thí
วุฒ	wút
วุ่นอยู่กับ	wûn-yùu-kàp
วุ่นวายใจ	wûn-waay-cay
วุ่นวาย	wûn-waay
วุ้นเส้น	wún-sên
วุ่น	wûn
วุ้น	wún
วัวตัวผู้	wua-tua-phûu
วัวตัวเมีย	wua-tua-mia
วัวสันหลังหวะ	wua-sǎn-lǎng-wà
วัวนม	wua-nom
วัวเนื้อ	wua-nʉ́a
วัวควาย	wua-khwaay
วัว	wua
โวยวาย	wooy-waay
โว้ย	wóoy
โวย	wooy
โว้เว้	wóo-wée
วอดวาย	wɔ̂ɔt-waay
โหวตเสียง	wòot-sǐang
วอด	wɔ̂ɔt
หวอด	wɔ̀ɔt
โหวด	wòot
โหวต	wòot
วอลเลย์บอล	wɔɔn-lêe-bɔɔn
วอนขอ	wɔɔn-khɔ̌ɔ
วอน	wɔɔn
โวลต์	wóon
วอกแวก	wɔ̂ɔk-wɛ̂ɛk
โหวกเหวก	wòok-wèek
วอก	wɔ̂ɔk
โวหาร	woo-hǎan
หวอ	wɔ̌ɔ
วอ	wɔɔ
โหว่	wòo
โว	woo
วนเวียน	won-wian
ลวนลาม	won-laam
วงเวียน	wong-wian
โหวงเหวง	wǒong-wěeng
ว่องไว	wɔ̂ng-way
วงศ์วาน	wong-waan
วงศ์ตระกูล	wong-trà-kuun
ด้วงโสน	wong-sa-nǒo
วงสังคม	wong-sǎng-khom
วงศ์สกุล	wong-sa-kun
วงศาคณาญาติ	wong-sǎa-kha-naa-yâat
วงศา	wong-sǎa
วงราชการ	wong-râat-cha-kaan
วงประชุม	wong-prà-chum
วงพาด	wong-phâat
วงนอก	wong-nɔ̂ɔk
วงเงิน	wong-ngəən
วงงาน	wong-ngaan
วงใน	wong-nay
วงหน้า	wong-nâa
วงล้อม	wong-lɔ́ɔm
วงเล็บใหญ่	wong-lép-yày
วงเล็บปีกกา	wong-lép-pìik-kaa
วงเล็บ	wong-lép
วงกว้าง	wong-kwâang
วงกบ	wong-kòp
วงกลม	wong-klom
วงโคจร	wong-khoo-cɔɔn
วงการทูต	wong-kaan-thûut
วงการทหาร	wong-kaan-tha-hǎan
วงการศิลปะ	wong-kaan-sǐn-lá-pà
วงการเศรษฐกิจ	wong-kaan-sèet-tha-kìt
วงการศาสนา	wong-kaan-sàat-sa-nǎa
วงการแพทย์	wong-kaan-phɛ̂ɛt
วงการพนัน	wong-kaan-pha-nan
วงการเมือง	wong-kaan-mʉang
วงการกฎหมาย	wong-kaan-kòt-mǎay
วงการบิน	wong-kaan-bin
วงการ	wong-kaan
วงดุริยางค์	wong-dù-rí-yaang
วงดนตรี	wong-don-trii
วงจรข่าย	wong-cɔɔn-khàay
วงจรไฟฟ้า	wong-cɔɔn-fay-fáa
วงจรชีวิต	wong-cɔɔn-chii-wít
วงจร	wong-cɔɔn
วงจำกัด	wong-cam-kàt
โหวง	wǒong
วง	wong
วงศ์	wong
ว่อน	wɔ̂n
วน	won
วกวน	wók-won
วกเวียน	wók-wian
วกไปวนมา	wók-pay-won-maa
วกกลับ	wók-klàp
วก	wók
โหว	wǒo
วิโยค	wí-yôok
หวิวๆ	wǐw-wǐw
วิวิธ	wí-wít
วิเวกวังเวง	wí-wêek-wang-weeng
วิวัฒนาการ	wí-wát-tha-naa-kaan
วิวัฒน์	wí-wát
วิวาท	wí-wâat
วิวาหมงคล	wí-waa-ha-mong-khon
วิวาห์	wí-waa
หวิว	wǐw
วิว	wiw
วิทยุติดตามตัว	wít-tha-yú-tìt-taam-tua
วิทยุโทรทัศน์	wít-tha-yú-thoo-ra-thát
วิทยุโทรศัพท์	wít-tha-yú-thoo-ra-sàp
วิทยุโทรภาพ	wít-tha-yú-thoo-ra-phâap
วิทยุโทรเลข	wít-tha-yú-thoo-ra-lêek
วิทยุสื่อสาร	wít-tha-yú-sʉ̀ʉ-sǎan
วิทยุศึกษา	wít-tha-yú-sʉ̀k-sǎa
วิทยุกระจายเสียง	wít-thá-yú-krà-caay-sǐang
วิทยุ	wít-tha-yú
วิทยฐานะ	wít-thá-yá-thǎa-ná
วิทยาธร	wít-tha-yaa-thɔɔn
วิทยาทาน	wít-tha-yaa-thaan
วิทยาศาสตร์ธรรมชาติ	wít-tha-yaa-sàat-tham-ma-châat
วิทยาศาสตร์ประยุกต์	wít-thá-yaa-sàat-prà-yùk
วิทยาศาตรมหาบัณฑิต	wít-tha-yaa-sàat-ma-hǎa-ban-dìt
วิทยาศาสตรมหาบัณฑิต	wít-tha-yaa-sàat-ma--hǎa-ban-dìt
วิทยาศาตรดุษฎีบัณฑิต	wít-tha-yaa-sàat-dùt-sa-dii-ban-dìt
วิทยาศาสตรดุษฎีบัณฑิต	wít-tha-yaa-sàat-dùt-sa-dii-ban-dìt
วิทยาศาตรบัณฑิต	wít-tha-yaa-sàat-ban-dìt
วิทยาศาสตรบัณฑิต	wít-tha-yaa-sàat-ban-dìt
วิทยาศาสตร์	wít-tha-yaa-sàat
วิทยาภูมิคุ้มกัน	wít-tha-yaa-phuum-khúm-kan
วิทยานิพนธ์	wít-tha-yaa-ní-phon
วิทยาลัยครู	wít-tha-yaa-lay-khruu
วิทยาลัย	wít-tha-yaa-lay
วิทยากร	wít-tha-yaa-kɔɔn
วิทยาคม	wít-tha-yaa-khom
วิทยาเขต	wít-tha-yaa-khèet
วิทยาคาร	wít-tha-yaa-khaan
วิทยาการผลิต	wít-tha-yaa-kaan-pha-lìt
วิทยา	wít-tha-yaa
วิทวัส	wít-tha-wát
วิตถาร	wít-ta-thǎan
วิศวกรโยธา	wít-sa-wa-kɔɔn-yoo-thaa
วิศวกรอุตสาหการ	wít-sa-wa-kɔɔn-ùt-sǎa-ha-kaan
วิศวกรเหมืองแร่	wít-sa-wa-kɔɔn-mʉ̌ang-rɛ̂ɛ
วิศวกรไฟฟ้า	wít-sa-wa-kɔɔn-fay-fáa
วิศวกรช่างกล	wít-sa-wa-kɔɔn-châng-kon
วิศวกร	wít-sa-wa-kɔɔn
วิศวกรรมโยธา	wít-sa-wa-kam-yoo-thaa
วิศวกรรมอุตสาหการ	wít-sa-wa-kam-ùt-sǎa-ha-kaan
วิศวกรรมศาสตรมหาบัณฑิต	wít-sa-wa-kam-ma-sǎat-ma-hǎa-ban-dìt
วิศวกรรมศาตรมหาบัณฑิต	wít-sa-wa-kam-ma-sàat-ma-hǎa-ban-dìt
วิศวกรรมศาตรดุษฎีบัณฑิต	wít-sa-wa-kam-ma-sàat-dùt-sa-dii-ban-dìt
วิศวกรรมศาตรบัณฑิต	wít-sa-wa-kam-ma-sàat-ban-dìt
วิศวกรรมศาสตรบัณฑิต	wít-sa-wa-kam-ma-sàat-ban-dìt
วิศวกรรมศาสตร์	wít-sa-wa-kam-ma-sàat
วิศวกรรมโลหการ	wít-sa-wa-kam-loo-ha-kaan
วิศวกรรมแหล่งน้ำ	wít-sa-wa-kam-lɛ̀ng-nám
วิศวกรรมเครื่องกล	wít-sa-wa-kam-khrʉ̂ang-kon
วิศวกรรมเคมี	wít-sa-wa-kam-khee-mii
วิศวกรรมไฟฟ้า	wít-sa-wa-kam-fay-fáa
วิศวกรรม	wít-sa-wa-kam
วิศรุต	wít-sa-rút
วิษณุเวท	wít-sa-nú-wêet
วิษณุโลก	wít-sa-nú-lôok
วิษณุกรรม	wít-sa-nú-kam
วิสกี้	wít-sa-kîi
วิตกกังวล	wí-tòk-kang-won
วิตก	wí-tòk
วิดน้ำ	wít-nám
วิทูร	wí-thuun
วิฑูรย์	wí-thuun
วิธู	wí-thuu
วิทู	wí-thuu
วิทิต	wí-thít
วิธีวัด	wí-thii-wát
วิธีถ่ายทอด	wí-thii-thàay-thɔ̂ɔt
วิถีทาง	wí-thǐi-thaang
วิถีกระสุน	wí-thǐi-krà-sǔn
วิธีการทางวิทยาศาสตร์	wí-thii-kaan-thaang-wít-tha-yaa-sàat
วิธีการสื่อสาร	wí-thii-kaan-sʉ̀ʉ-sǎan
วิธีการ	wí-thii-kaan
วิถีแห่งชีวิต	wí-thǐi-hɛ̀ng-chii-wít
วิธีฝึก	wí-thii-fʉ̀k
วิธีใช้	wí-thii-cháy
วิถีชาวบ้าน	wí-thǐi-chaaw-bâan
วิถี	wí-thǐi
วิธี	wí-thii
วิเทศสัมพันธ์	wí-thêet-sǎm-phan
วิเทศ	wí-thêet
วิธาน	wí-thaan
วิชชุ	wít-chú
วิชชา	wít-chaa
วิตามิน	wí-taa-min
หวิด	wìt
วิธ	wít
วิสิฐ	wí-sìt
วิเศษ	wí-sèet
วิเศษณ์	wí-sèet
วิสัยทัศน์	wí-sǎy-thát
วิสัย	wí-sǎy
วิสัชนา	wí-sàt-cha-naa
วิสารท	wí-sàat
วิสาสะ	wí-sǎa-sà
วิศาล	wí-sǎan
วิสาล	wí-sǎan
วิสามัญ	wí-sǎa-man
วิสามานยนาม	wí-sǎa-maan-ya-naam
วิโรจ	wí-rôot
วิโรธ	wí-rôot
วิรงรอง	wí-rong-rɔɔng
วิริยภาพ	wí-rí-ya-phâap
วิริยะ	wí-rí-yá
วิรัช	wí-rát
วิบวับ	wíp-wáp
วิปโยค	wíp-pa-yôok
วิปริต	wíp-pa-rìt
วิปลาส	wíp-pa-lâat
วิภูษิต	wí-phuu-sìt
วิภูษณะ	wí-phuu-sà-nà
วิภูษา	wí-phuu-sǎa
วิภู	wí-phuu
วิภัตติ	wí-phát
วิภาษ	wí-phâat
วิภาส	wí-phaat
วิพากษ์วิจารณ์	wí-phâak-wí-caan
วิพากษ์	wí-phâak
วิภาค	wí-phaak
วิภา	wí-phaa
วิปัสสนา	wí-pàt-sa-naa
วิปักษ์	wí-pàk
วิญญูภาพ	win-yuu-phâap
วิญญู	win-yuu
วิญญาณ	win-yaan
วินิจฉัยโรค	wí-nít-chǎy-rôok
วินิจฉัย	wí-nít-chǎy
วินิจ	wí-nít
วินิต	wí-nít
วิ่งเหยาะๆ	wîng-yɔ̀-yɔ̀
วิงวอน	wing-wɔɔn
วิงเวียน	wing-wian
วิ่งว่าว	wîng-wâaw
วิ่งเต้น	wîng-tên
วิ่งสามขา	wîng-sǎam-khǎa
วิ่งรอก	wîng-rɔ̂ɔk
วิ่งระแบง	wîng-rá-bɛɛng
วิ่งราว	wîng-raaw
วิ่งเปี้ยว	wîng-pîaw
วิ่งผลัด	wîng-phlàt
วิ่งหนี	wîng-nǐi
วิ่งม้า	wîng-máa
วิ่งเล่น	wîng-lên
วิ่งไล่	wîng-lây
วิ่งกวด	wîng-kùat
วิ่งกระโดดข้ามรั้ว	wîng-krà-dòot-khâam-rûa
วิ่งแข่ง	wîng-khɛ̀ng
วิ่งข้ามรั้ว	wîng-khâam-rúa
วิ่ง	wîng
วิง	wing
วินัยสงฆ์	wí-nay-sǒng
วินัย	wí-nay
วินาศกรรม	wí-nâat-sa-kam
วินาที	wí-naa-thii
วินาศ	wí-nâat
วิมุตติ	wí-mút-tì
วิมุต	wí-mút
วิมุข	wí-múk
วิโมกข์	wí-môok
วิมล	wí-mon
วิมัติ	wí-mát
วิมังสา	wí-mang-sǎa
วิมานในอากาศ	wí-maan-nay-aa-kàat
วิมาน	wí-maan
วิโลม	wí-loom
วิไลวรรณ	wí-lay-wan
วิไล	wí-lay
วิลาวัณย์	wí-laa-wan
วิลาส	wí-lâat
วิลาป	wí-lâap
วิฬาร์	wí-laa
วิกรม	wí-krom
วิกฤตการณ์	wí-krìt-ta-kaan
วิกฤติการณ์	wí-krìt-kaan
วิกฤต	wí-krìt
วิกฤติ	wí-krìt
วิกลจริต	wí-kòn-ca-rìt
